START,PLACE,COLOR,STREGA,AMOS_CALLOWAY,JENNY,DON_PRICE,SANDRA,EDWARD,KARL,NORTHER_WINSLOW,JING_E_PING,WILL,JOSEPHINE
0,lago,#292426,,,,,,P,,,,,
7,realtà,#1d1d1d,,,,,,P,,,,,
9,casa strega,#5d715e,P,,,P,,P,,,,,
15,realtà,#1d1d1d,,,,,,P,,,,,
19,Ashton,#4F5629,,,,P,,P,,,,,
23,grotta,#243523,,,,,,P,P,,,,
28,Spectre,#8BAA55,,,P,,,P,,P,,,
40,foresta,#0e1420,,,,,,P,,,,,
43,realtà,#1d1d1d,,,,,,P,,,,,
46,circo,#090405,,P,,,P,P,P,,,,
60,Auburn,#99b835,,,,P,P,P,,,,,
66,realtà,#1d1d1d,,,,,,P,,,,,
67,ospedale,#5f452a,,,,,P,P,,,,,
68,aereo,#463031,,,,,,P,,,,,
69,Vietnam,#070405,,,,,,P,,,P,
73,casa Edward,#7a844d,,,,,P,P,,,,,
75,realtà,#1d1d1d,,,,,,P,,,,,
82,ufficio,#7d6a46,,,,,,P,,,,,
84,banca,#d6c6b7,,,,,,P,,P,,,
88,realtà,#1d1d1d,,,,,,P,,,,,
92,Spectre,#405300,,,,,,P,,,,,
96,casa Jenny,#6c646b,,,P,,,P,P,,,,
97,realtà,#1d1d1d,,,,,,P,,,,,
101,ospedale,#808686,,,,,P,P,,,,P,P
102,fiume,#233831,P,P,P,P,P,P,P,P,P,P,P
106,realtà,#1d1d1d,,,,,,P,,,,,
119,lago,#151c1e,,,,,,P,,,,,
120,,,,,,,,,,,,,